127.0.0.1 - - [09/Feb/2021:19:19:00 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/css/bootstrap.min.css HTTP/1.1" 200 122249
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/css/bootstrap-theme.min.css HTTP/1.1" 200 24410
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/css/style.css HTTP/1.1" 200 9203
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/vendores/typedjs/typed.min.js HTTP/1.1" 200 5326
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/js/bootstrap.min.js HTTP/1.1" 200 37330
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/js/custom.js HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/vendores/ripples/jquery.ripples-min.js HTTP/1.1" 200 14622
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:02 +0530] "GET /ORSProject3/theam_wel/image/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:04 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Regular.ttf HTTP/1.1" 200 29016
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:04 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Bold.ttf HTTP/1.1" 200 29560
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:04 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:04 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-SemiBold.ttf HTTP/1.1" 200 141360
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:04 +0530] "GET /ORSProject3/theam_wel/image/slider-1.jpg HTTP/1.1" 200 248414
