0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:37:52 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:37:52 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:37:52 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:37:52 +0530] "GET /ORSProject3/theam_wel/image/slider-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:37:52 +0530] "GET /ORSProject3/theam_wel/vendores/typedjs/typed.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:37:52 +0530] "GET /ORSProject3/theam_wel/vendores/ripples/jquery.ripples-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:37:52 +0530] "GET /ORSProject3/theam_wel/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/image/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/image/slider-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/vendores/typedjs/typed.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/vendores/ripples/jquery.ripples-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:40 +0530] "GET /ORSProject3/theam_wel/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:41 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:41 +0530] "GET /ORSProject3/theam_wel/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:41 +0530] "GET /ORSProject3/theam_wel/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:41 +0530] "GET /ORSProject3/theam_wel/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:41 +0530] "GET /ORSProject3/theam_wel/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/image/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/image/slider-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/vendores/typedjs/typed.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/vendores/ripples/jquery.ripples-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:42 +0530] "GET /ORSProject3/theam_wel/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:48 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:48 +0530] "GET /ORSProject4/ HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:38:48 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/image/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/image/slider-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/vendores/typedjs/typed.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/vendores/ripples/jquery.ripples-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:24 +0530] "GET /ORSProject3/theam_wel/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/image/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/fonts/Montserrat-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/image/slider-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/vendores/typedjs/typed.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/vendores/ripples/jquery.ripples-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:26 +0530] "GET /ORSProject3/theam_wel/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:46 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:39:46 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:41:53 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [02/Feb/2021:16:41:53 +0530] "GET /ORSProject3/theam_wel/css/bootstrap.min.css HTTP/1.1" 304 -
